"ID","TYPE","STATION_ID","STATION_NAME","LOCATION","LON","LAT","BODY_LEVEL"
"","採樣分區","測站編號","測站名稱","地點","LON","LAT","水質分級"
"1","臺中港沿海海域","5163","臺中港沿海一","臺中市","120.491169","24.310037","乙"
"2","臺東沿海海域","5206","卑南溪河口","臺東縣","121.178903","22.761827","甲"
"3","澎湖沿海海域","5213","烏崁海域","澎湖縣","119.625357","23.540991","甲"
"4","雲林沿海海域","5176","三條崙外海","雲林縣","120.061605","23.662595","甲"
"5","東石布袋沿海海域","5182","八掌溪口北側","嘉義縣","120.119036","23.365493","甲"
"6","臺中港沿海海域","5162","大安溪口","臺中市","120.585687","24.411452","乙"
"7","臺北沿海海域(乙)","5129","濂洞溪外海","新北市","121.864277","25.126694","乙"
"8","雲林沿海海域","5173","六輕沿海一","雲林縣","120.15133","23.827345","甲"
"9","桃園沿海海域","5136","深澳發電廠","新北市","121.829123","25.131742","乙"
"10","新竹香山沿海海域","5142","頭前溪口南側","新竹市","120.907177","24.841557","乙"
"11","新竹香山沿海海域","5143","鳳山溪北側","新竹縣","120.92978","24.868144","乙"
"12","新竹香山沿海海域","5144","客雅溪河口外4海浬處","新竹市","120.832628","24.806303","乙"
"13","新竹香山沿海海域","5145","紅毛港外","新竹縣","120.955767","24.912114","乙"
"14","宜蘭蘇澳沿海海域","5146","龜山島","宜蘭縣","121.943413","24.828021","甲"
"15","宜蘭蘇澳沿海海域","5147","得子口溪口","宜蘭縣","121.832146","24.840068","甲"
"16","宜蘭蘇澳沿海海域","5148","蘭陽溪口","宜蘭縣","121.841711","24.714734","甲"
"17","宜蘭蘇澳沿海海域","5149","新城溪口","宜蘭縣","121.856735","24.631525","甲"
"18","宜蘭蘇澳沿海海域","5150","蘇澳港","宜蘭縣","121.884555","24.593861","甲"
"19","花蓮沿海海域","5151","和平溪河口","花蓮縣","121.786608","24.315765","甲"
"20","花蓮沿海海域","5152","和平溪口外4海浬處","花蓮縣","121.833917","24.298113","甲"
"21","花蓮沿海海域","5153","和平港","花蓮縣","121.776009","24.300055","甲"
"22","花蓮沿海海域","5154","立霧溪河口","花蓮縣","121.669926","24.13874","甲"
"23","花蓮沿海海域","5155","花蓮港","花蓮縣","121.624848","23.969075","甲"
"24","花蓮沿海海域","5156","花蓮溪河口","花蓮縣","121.615711","23.944379","甲"
"25","花蓮沿海海域","5157","豐濱溪河口","花蓮縣","121.534833","23.599472","甲"
"26","花蓮沿海海域","5158","秀姑巒溪河口","花蓮縣","121.526013","23.459638","甲"
"27","新竹香山沿海海域","5159","中港溪口一","苗栗縣","120.790144","24.69257","乙"
"28","新竹香山沿海海域","5160","中港溪口二","苗栗縣","120.816888","24.68417","乙"
"29","新竹香山沿海海域","5161","通霄溪口","苗栗縣","120.659172","24.490158","乙"
"30","基隆沿海海域","5123","基隆港一","基隆市","121.752047","25.164942","乙"
"31","基隆沿海海域","5124","基隆港二","基隆市","121.760548","25.163691","乙"
"32","基隆沿海海域","5125","基隆拋泥區一","基隆市","121.764101","25.188152","乙"
"33","基隆沿海海域","5126","八斗子垃圾場","基隆市","121.801701","25.150636","乙"
"34","基隆沿海海域","5127","和平島","基隆市","121.76483","25.166219","乙"
"35","臺北沿海海域(甲)","5128","龍門鹽寮外海","新北市","121.938777","25.045389","甲"
"36","彰濱沿海海域","5167","彰濱沿海一","彰化縣","120.43258","24.182981","乙"
"37","彰濱沿海海域","5168","彰濱沿海二","彰化縣","120.407163","24.153874","乙"
"38","彰濱沿海海域","5169","彰濱沿海三","彰化縣","120.381248","24.107958","乙"
"39","雲林沿海海域","5170","濁水溪口一","雲林縣","120.204553","23.868341","甲"
"40","雲林沿海海域","5171","濁水溪口二","雲林縣","120.178273","23.863066","甲"
"41","雲林沿海海域","5172","濁水溪口外4海浬","雲林縣","120.182572","23.866156","甲"
"42","臺北沿海海域(乙)","5130","八里污水廠外海一","新北市","121.363775","25.222152","乙"
"43","臺北沿海海域(乙)","5131","八里污水廠外海二","新北市","121.40077","25.222617","乙"
"44","臺北沿海海域(乙)","5132","林口發電廠外海","新北市","121.306794","25.133152","乙"
"45","臺北沿海海域(乙)","5133","深澳發電廠外海","新北市","121.83527","25.134899","乙"
"46","臺北沿海海域(乙)","5134","淡水河口外4海浬處","新北市","121.370855","25.207526","乙"
"47","桃園沿海海域","5135","林口發電廠","新北市","121.300885","25.127983","乙"
"48","桃園沿海海域","5137","海湖電廠","桃園市","121.257305","25.1255","乙"
"49","桃園沿海海域","5138","新南崁溪口","桃園市","121.245769","25.12237","乙"
"50","桃園沿海海域","5139","沙崙中油卸油設施一","桃園市","121.197207","25.12133","乙"
"51","桃園沿海海域","5140","沙崙中油卸油設施二","桃園市","121.219458","25.130409","乙"
"52","桃園沿海海域","5141","觀音溪口","桃園市","121.064251","25.056026","乙"
"53","二仁溪口沿海海域","5185","二仁溪口北側","臺南市","120.161175","22.920129","乙"
"54","二仁溪口沿海海域","5186","二仁溪口外側","臺南市","120.151647","22.910101","乙"
"55","二仁溪口沿海海域","5187","二仁溪口","臺南市","120.172147","22.910517","乙"
"56","二仁溪口沿海海域","5188","二仁溪口外4海浬","臺南市","120.114481","22.910659","乙"
"57","高雄港沿海海域","5189","高雄港口外一","高雄市","120.244741","22.637319","乙"
"58","高雄港沿海海域","5190","高雄港口外二","高雄市","120.244184","22.611874","乙"
"59","高雄港沿海海域","5191","高雄港口外三","高雄市","120.287041","22.559261","乙"
"60","高雄港沿海海域","5192","旗津","高雄市","120.26271","22.587929","乙"
"61","高屏溪口沿海海域","5193","中芸港外","屏東縣","120.39373","22.476117","乙"
"62","高屏溪口沿海海域","5194","高屏溪東港溪之間-1","屏東縣","120.428812","22.471309","乙"
"63","高屏溪口沿海海域","5195","高屏溪口外4海浬","屏東縣","120.392698","22.413756","乙"
"64","高屏溪口沿海海域","5196","高屏溪出海口","屏東縣","120.422062","22.471587","乙"
"65","高屏溪口沿海海域","5197","東港溪出海口","屏東縣","120.433756","22.464559","乙"
"66","大鵬灣沿海海域","5198","大鵬灣灣內-1","屏東縣","120.483032","22.435918","乙"
"67","大鵬灣沿海海域","5199","大鵬灣灣內-2","屏東縣","120.48556","22.438973","乙"
"68","南灣核三廠沿海海域","5200","核三廠出水口右側","屏東縣","120.75636","21.92546","乙"
"69","南灣核三廠沿海海域","5201","核三廠出水口左側","屏東縣","120.752666","21.930821","乙"
"70","南灣核三廠沿海海域","5202","核三廠入水口","屏東縣","120.76014","21.950876","乙"
"71","臺中港沿海海域","5164","臺中港沿海二","臺中市","120.456334","24.334846","乙"
"72","臺中港沿海海域","5165","大肚溪口","臺中市","120.478358","24.202987","乙"
"73","臺中港沿海海域","5166","大肚溪口外4海浬","臺中市","120.42518","24.20855","乙"
"74","南灣核三廠沿海海域","5203","後壁湖漁港","屏東縣","120.746167","21.943127","乙"
"75","南灣核三廠沿海海域","5204","南灣","屏東縣","120.771418","21.94981","乙"
"76","南灣核三廠沿海海域","5205","石牛溪口","屏東縣","120.784389","21.942736","乙"
"77","臺東沿海海域","5207","知本溪口","臺東縣","121.101178","22.703887","甲"
"78","臺東沿海海域","5208","富岡港外","臺東縣","121.190737","22.78466","甲"
"79","臺東沿海海域","5209","成功港外海","臺東縣","121.37903","23.084344","甲"
"80","臺東沿海海域","5210","蘭嶼","臺東縣","121.504913","22.064062","甲"
"81","臺東沿海海域","5211","綠島","臺東縣","121.471115","22.657868","甲"
"82","臺東沿海海域","5212","卑南溪口外4海浬","臺東縣","121.23079","22.750991","甲"
"83","澎湖沿海海域","5214","紗帽山海域","澎湖縣","119.597328","23.507326","甲"
"84","澎湖沿海海域","5215","龍門海域","澎湖縣","119.672052","23.552544","甲"
"85","澎湖沿海海域","5216","吉貝海域","澎湖縣","119.615619","23.733909","甲"
"86","澎湖沿海海域","5217","七美海域","澎湖縣","119.417672","23.190112","甲"
"87","雲林沿海海域","5174","六輕沿海二","雲林縣","120.168943","23.801924","甲"
"88","雲林沿海海域","5175","台西外海","雲林縣","120.118126","23.720181","甲"
"89","雲林沿海海域","5177","北港溪口一","雲林縣","120.13368","23.538268","甲"
"90","東石布袋沿海海域","5178","東石港外海一","嘉義縣","120.108234","23.432021","甲"
"91","東石布袋沿海海域","5179","東石港外海二","嘉義縣","120.102818","23.437105","甲"
"92","東石布袋沿海海域","5180","布袋港外海一","嘉義縣","120.107954","23.398299","甲"
"93","東石布袋沿海海域","5181","布袋港外海二","嘉義縣","120.130454","23.390075","甲"
"94","東石布袋沿海海域","5183","朴子溪口外4海浬","嘉義縣","120.065429","23.434245","甲"
"95","二仁溪口沿海海域","5184","二仁溪口南側","臺南市","120.158479","22.889351","乙"
"96","臺北沿海海域(乙)","5135","林口發電廠","新北市","121.300885","25.127983","乙"
"97","臺北沿海海域(乙)","5136","深澳發電廠","新北市","121.829123","25.131742","乙"
"98","澎湖沿海海域","5218","望安海域","澎湖縣","119.524486","23.348329","甲"
"99","澎湖沿海海域","5219","外垵4海浬外","澎湖縣","119.486607","23.515498","甲"
"100","基隆沿海海域","5929","員山子分洪道出海口","新北市","121.843846","25.128573","乙"
"101","金門沿海海域","5930","金門后江灣外","金門縣","118.35228","24.466526","乙"
"102","金門沿海海域","5931","金烈水道南側","金門縣","118.281898","24.405262","乙"
"103","金門沿海海域","5932","金門本島東側沿海","金門縣","118.475189","24.439336","乙"
"104","馬祖沿海海域","5933","南竿鄉北部沿海","連江縣","119.924698","26.173927","乙"
"105","馬祖沿海海域","5934","馬祖海峽","連江縣","119.94976","26.194569","乙"
"106","馬祖沿海海域","5935","北竿東部沿海","連江縣","120.018425","26.236458","乙"
"107","東引沿海海域","5936","東引北部沿海","連江縣","120.4794351","26.3951018","甲"
"108","","5937","老街溪口","桃園市","121.1719546","25.088015","丙"
"109","","5938","老街溪口外海","桃園市","121.14665","25.12718","乙"
"110","","5939","大崛溪口","桃園市","121.0960475","25.0617401","丙"
"111","","5940","大崛溪口外海","桃園市","121.0670128","25.0983815","乙"
"112","","5941","後龍溪口","苗栗縣","120.7420289","24.6223673","丙"
"113","","5942","後龍溪口外海","苗栗縣","120.71113","24.65063","乙"
"114","","5943","大安溪口外海","臺中市","120.55126","24.42936","乙"
"115","","5944","線西水道口","彰化縣","120.36735","24.09032","丙"
"116","","5945","線西水道口外海","彰化縣","120.32405","24.08932","乙"
"117","","5946","北港溪口外海","雲林縣","120.1078203","23.556051","甲"
"118","","5947","八掌溪口外海","嘉義縣","120.0671021","23.3365059","甲"
"119","","5948","曾文溪口","臺南市","120.06049","23.04167","丙"
"120","","5949","鹿耳門溪口","臺南市","120.10614","23.01773","丙"
"121","","5950","鹽水溪口","臺南市","120.13667","22.99342","丙"
"122","","5951","安南區外海1","臺南市","120.0527641","22.9977917","乙"
"123","","5952","安南區外海2","臺南市","120.090843","22.9738554","乙"
"124","","5953","阿公店溪口","高雄市","120.2130233","22.8037086","丙"
"125","","5954","阿公店溪口外海","高雄市","120.14981","22.78236","乙"
"126","","5955","大林火力發電廠導流堤外","高雄市","120.32618","22.52162","丙"
"127","","5956","大林火力發電廠導流堤外海","高雄市","120.32995","22.50405","乙"
